threshold	false_positive_rate	true_positive_rate
0.01	0.034420289855072464	0.9982517482517482
0.02	0.03260869565217391	0.9982517482517482
0.03	0.02717391304347826	0.9982517482517482
0.04	0.025362318840579712	0.9982517482517482
0.05	0.025362318840579712	0.9982517482517482
0.06	0.025362318840579712	0.9982517482517482
0.07	0.025362318840579712	0.9982517482517482
0.08	0.025362318840579712	0.9982517482517482
0.09	0.025362318840579712	0.9982517482517482
0.1	0.021739130434782608	0.9965034965034965
0.11	0.021739130434782608	0.9965034965034965
0.12	0.021739130434782608	0.9965034965034965
0.13	0.021739130434782608	0.9965034965034965
0.14	0.021739130434782608	0.9965034965034965
0.15	0.021739130434782608	0.9965034965034965
0.16	0.021739130434782608	0.9965034965034965
0.17	0.021739130434782608	0.9965034965034965
0.18	0.021739130434782608	0.9965034965034965
0.19	0.021739130434782608	0.9965034965034965
0.2	0.021739130434782608	0.9965034965034965
0.21	0.021739130434782608	0.9965034965034965
0.22	0.021739130434782608	0.9965034965034965
0.23	0.021739130434782608	0.9965034965034965
0.24	0.021739130434782608	0.9965034965034965
0.25	0.019927536231884056	0.9965034965034965
0.26	0.018115942028985508	0.9965034965034965
0.27	0.018115942028985508	0.993006993006993
0.28	0.018115942028985508	0.993006993006993
0.29	0.018115942028985508	0.993006993006993
0.3	0.018115942028985508	0.993006993006993
0.31	0.018115942028985508	0.993006993006993
0.32	0.018115942028985508	0.993006993006993
0.33	0.018115942028985508	0.993006993006993
0.34	0.018115942028985508	0.993006993006993
0.35	0.018115942028985508	0.993006993006993
0.36	0.018115942028985508	0.993006993006993
0.37	0.018115942028985508	0.993006993006993
0.38	0.018115942028985508	0.993006993006993
0.39	0.018115942028985508	0.993006993006993
0.4	0.018115942028985508	0.993006993006993
0.41	0.018115942028985508	0.993006993006993
0.42	0.018115942028985508	0.993006993006993
0.43	0.018115942028985508	0.993006993006993
0.44	0.016304347826086956	0.993006993006993
0.45	0.016304347826086956	0.993006993006993
0.46	0.016304347826086956	0.993006993006993
0.47	0.016304347826086956	0.9912587412587412
0.48	0.016304347826086956	0.9912587412587412
0.49	0.016304347826086956	0.9912587412587412
0.5	0.016304347826086956	0.9912587412587412
0.51	0.016304347826086956	0.9877622377622378
0.52	0.016304347826086956	0.9877622377622378
0.53	0.016304347826086956	0.9877622377622378
0.54	0.016304347826086956	0.9877622377622378
0.55	0.016304347826086956	0.9877622377622378
0.56	0.016304347826086956	0.9877622377622378
0.57	0.016304347826086956	0.9877622377622378
0.58	0.016304347826086956	0.9877622377622378
0.59	0.016304347826086956	0.9877622377622378
0.6	0.016304347826086956	0.9877622377622378
0.61	0.016304347826086956	0.9877622377622378
0.62	0.016304347826086956	0.986013986013986
0.63	0.016304347826086956	0.986013986013986
0.64	0.016304347826086956	0.986013986013986
0.65	0.016304347826086956	0.986013986013986
0.66	0.016304347826086956	0.986013986013986
0.67	0.016304347826086956	0.986013986013986
0.68	0.016304347826086956	0.986013986013986
0.69	0.016304347826086956	0.986013986013986
0.7	0.016304347826086956	0.986013986013986
0.71	0.016304347826086956	0.9842657342657343
0.72	0.016304347826086956	0.9842657342657343
0.73	0.016304347826086956	0.9842657342657343
0.74	0.016304347826086956	0.9842657342657343
0.75	0.016304347826086956	0.9842657342657343
0.76	0.016304347826086956	0.9842657342657343
0.77	0.016304347826086956	0.9842657342657343
0.78	0.016304347826086956	0.9842657342657343
0.79	0.016304347826086956	0.9842657342657343
0.8	0.016304347826086956	0.9842657342657343
0.81	0.016304347826086956	0.9842657342657343
0.82	0.016304347826086956	0.9842657342657343
0.83	0.016304347826086956	0.9842657342657343
0.84	0.016304347826086956	0.9842657342657343
0.85	0.016304347826086956	0.9825174825174825
0.86	0.016304347826086956	0.9825174825174825
0.87	0.016304347826086956	0.9825174825174825
0.88	0.016304347826086956	0.9807692307692307
0.89	0.016304347826086956	0.9807692307692307
0.9	0.014492753623188406	0.9807692307692307
0.91	0.014492753623188406	0.9807692307692307
0.92	0.014492753623188406	0.9807692307692307
0.93	0.012681159420289856	0.9790209790209791
0.94	0.012681159420289856	0.9737762237762237
0.95	0.010869565217391304	0.972027972027972
0.96	0.010869565217391304	0.9702797202797203
0.97	0.010869565217391304	0.9667832167832168
0.98	0.010869565217391304	0.965034965034965
0.99	0.010869565217391304	0.965034965034965
