dim	coefficient
174	-1.1145770398933599
175	-1.183480230401482
176	-1.133885443736141
177	-1.2813449043875158
178	-1.2667712371073538
179	-1.2163324822417516
180	-1.6987847853926388
181	-1.1708524781767615
182	-1.1677174572541382
183	-1.2710554805397334
184	-1.227010192291957
185	-1.2449004569167812
186	-1.1921571289373183
187	-1.141203031879842
188	-1.1565746164596655
189	-1.2465156187396862
190	-1.2112686797772785
191	-1.0837484246177576
192	-1.127032291124015
193	-1.267390320502765
194	-1.152525532748937
195	-1.2842352231651568
196	-1.1506589741467292
197	-1.0347797752882655
198	-1.2417554839314182
199	-1.1283821492416808
200	-1.3161818017588711
201	-1.2259375589580028
202	-1.1200115450932313
203	-1.2231905841241573
204	-1.0973870461983652
205	-1.4737992779895288
206	-1.180183582519007
207	-1.228571378842562
208	-1.1426180058155124
209	-1.2752288311059585
210	-1.2292581520232884
211	-1.2342861905330327
212	-1.0941578450329135
213	-1.256713344080636
214	-1.2567466311022788
215	-1.3355036037544041
216	-1.1784686952134673
217	-1.1638616982238248
218	-1.2298771805592983
219	-1.2825507317485014
220	-1.2643075002511166
221	-1.3619582230847542
222	-1.1568479165699022
223	-1.2255192323674988
224	-1.2060673565917481
225	-1.1881655663314685
226	-1.1627314361214511
227	-1.2501594561781648
228	-1.273205797013802
229	-1.2690162799489624
230	-1.1421885603259048
231	-1.2463532333144984
232	-1.3568923898931728
233	-1.2511218886480469
234	-1.1571794006803424
235	-1.277925729011125
236	-1.2097139873947818
237	-1.1304397973705629
238	-1.1760858757877521
239	-1.213496228629305
240	-1.2397904346721622
241	-1.2110649754571852
242	-1.2585084871560417
243	-1.3186764913805702
244	-1.1747159791124049
245	-1.2077983926194578
246	-1.2461366065715715
247	-1.160763102997207
248	-1.2103142874806216
249	-1.3159272130092419
250	-1.1378925291085955
251	-1.2248035182597605
252	-1.2623154704260715
253	-1.2232327379363481
254	-1.0650585337889482
255	-1.1967627179937925
256	-1.1724495384441909
257	-1.260870708766881
258	-1.0980803262470697
259	-1.3588163652110055
260	-1.1700270500601062
261	-1.2102437159201298
262	-1.206321063558401
263	-1.1518246867241668
264	-1.137561598429353
265	-1.1165076454791056
266	-1.091076400109764
267	-1.087117441656153
268	-1.1450301067245823
269	-1.225016736342364
270	-1.164635357464371
271	-1.2276581587783326
272	-1.2247372903952922
273	-1.7062963004855505
274	-1.198070106773401
275	-1.1723313506100659
276	-1.022965060163803
277	-1.2271180494199374
278	-1.3355538713283417
279	-1.0638874302041066
280	-1.3000000521739181
281	-1.165787706902349
282	-1.1188203795741423
283	-1.2541176844811974
284	-1.321357878936932
285	-1.1430920344128483
286	-1.2237291118996105
287	-1.2066358357612026
288	-1.2183358786560512
289	-1.2221309434341276
290	-1.1930153614420644
291	-1.1608496552217802
292	-1.2756950125056261
293	-1.3267166872104315
294	-1.15503037940012
295	-1.2376406420041004
296	-1.2546973598229907
297	-1.1159702977887054
298	-1.1075287359989752
299	-1.2361772509747002
300	-1.2241189978353666
301	-1.0853663393425994
